Type of Playtest,Start,End 
"June 27th-28th 
Community Playtest",1751014800,1751245200
Friday,1751612400,1751623200
Friday_27th,1751007600,1751022000
"June 13th-15th 
Community Playtest
aka Summer Game Fest",1749816000,1750050000
Friday Playtest,1749214800,1749240000
"May 30st - June 1st
Community Playtest
aka TwitchCon",1748613600,1748790000
"May 17th-18th 
Community Playtest",1747472400,1747627200
"Friday 
Community Playtest",1747378800,1747389600
"May 3rd - 4th
Community Playtest",1746266400,1746428400
Clan Games Practice Server Run,1745078400,1745685600
April 18th-20th Playtest,1745124000,1745215200
Weekend Playtest,1743872400,1743994800
Weekend Playtest,1743271200,1743303600
Weekend Playtest,1742666400,1742698800
Weekend Playtest,1742061600,1742094000
